laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,125441,125311,73.3,20.1,13.1,0,0.2,0.7,6.5,0.2,96.8,0,0,117152,25163,16410,49,219,884,8159,189,121476,0,0,91989,25163,49,170,665,7275,73.3,20.1,0,0.1,0.5,5.8
S12000034,ABERDEENSHIRE,125085,124305,78.5,2.8,2.7,2.5,5.9,9.9,18.1,3.6,93.6,0,0,101652,3472,3332,3163,7339,12332,22653,4519,117051,0,0,98180,3472,3163,4176,4993,10321,78.5,2.8,2.5,3.3,4,8.3
E07000223,ADUR,29770,29760,16.3,82.4,0.6,0,0.1,0.1,1.3,0,99.1,0,0,29383,24543,193,0,16,44,377,12,29514,0,0,4840,24543,0,16,28,333,16.3,82.4,0,0.1,0.1,1.1
E07000026,ALLERDALE,51385,51284,89.8,1.7,1.7,1.2,2.6,3.6,8.3,1.2,98.3,2.3,2.2,47003,866,866,619,1323,1873,4281,592,50507,1164,1114,46137,866,619,704,550,2408,89.8,1.7,1.2,1.4,1.1,4.7
E07000032,AMBER VALLEY,60674,60596,67.4,25.3,22.1,0.1,0.9,2.1,7.2,0.7,98.2,0,0,56232,15339,13412,89,549,1254,4364,440,59578,0,0,40893,15339,89,460,705,3110,67.4,25.3,0.1,0.8,1.2,5.1
S12000041,ANGUS,60535,60197,72.3,13.6,1.4,1.4,3.8,7.1,13.6,2.2,94.5,0,0,51963,8213,818,859,2278,4304,8234,1340,57230,0,0,43750,8213,859,1419,2026,3930,72.3,13.6,1.4,2.3,3.3,6.5
N09000001,ANTRIM AND NEWTOWNABBEY,61064,60526,36.5,54.5,24,1.6,2.9,3.9,8.1,1.6,98.3,0,0,55588,33274,14650,998,1799,2359,4938,995,60052,0,0,22314,33274,998,801,560,2579,36.5,54.5,1.6,1.3,0.9,4.2
N09000011,ARDS AND NORTH DOWN,72717,72510,32.1,62.4,57.3,0.5,1.1,2.2,5.3,0.8,99.5,0,0,68678,45343,41699,387,828,1597,3832,549,72371,0,0,23335,45343,387,441,769,2235,32.1,62.4,0.5,0.6,1.1,3.1
S12000035,ARGYLL AND BUTE,56131,54748,75.3,0.9,0.9,3.3,6.4,11.6,21.3,6.8,87.3,0,0,42782,488,487,1876,3578,6513,11966,3804,49017,0,0,42294,488,1876,1702,2935,5453,75.3,0.9,3.3,3,5.2,9.7
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",86230,85767,51.7,36.1,36.3,1.6,3.2,5,11.7,2,98.3,0,0,75658,31107,31283,1341,2742,4296,10109,1693,84753,1,0,44551,31107,1341,1401,1554,5813,51.7,36.1,1.6,1.6,1.8,6.7
E07000224,ARUN,78405,78393,91.5,5.1,2.8,0.1,0.1,0.3,3.4,0.1,99.7,0,0,75750,4006,2208,56,103,248,2643,70,78184,0,0,71744,4006,56,47,145,2395,91.5,5.1,0.1,0.1,0.2,3.1
E07000170,ASHFIELD,59438,59417,14.6,83.7,1.4,0,0.4,0.5,1.6,0.2,99.2,0,0,58450,49778,804,12,227,295,967,92,58961,0,0,8672,49778,12,215,68,672,14.6,83.7,0,0.4,0.1,1.1
E07000105,ASHFORD,57809,57766,46.2,43.3,4.9,0.4,1.9,3.9,10.4,1,98.3,0,0,51740,25042,2841,219,1075,2281,6026,554,56807,0,0,26698,25042,219,856,1206,3745,46.2,43.3,0.4,1.5,2.1,6.5
E07000004,AYLESBURY VALE,88230,88194,48.5,43.1,11.4,0.5,1.7,3.2,8.4,0.6,96.1,0,0,80812,38056,10085,449,1503,2810,7382,510,84800,0,0,42756,38056,449,1054,1307,4572,48.5,43.1,0.5,1.2,1.5,5.2
E07000200,BABERGH,43124,43078,82,10.3,6.3,0.5,1.1,1.8,7.5,0.5,98.9,0,0,39832,4461,2702,197,471,787,3246,235,42656,0,0,35371,4461,197,274,316,2459,82,10.3,0.5,0.6,0.7,5.7
E09000002,BARKING AND DAGENHAM,80961,80431,8.9,89.4,46.3,0,0.3,0.4,1,0.7,98.3,0,0,79595,72375,37476,18,232,363,836,562,79606,0,0,7220,72375,18,214,131,473,8.9,89.4,0,0.3,0.2,0.6
E09000003,BARNET,157764,157751,45.9,51.2,18,0,0,0.1,2.9,0,98.2,0,0,153230,80770,28380,0,12,157,4521,11,154976,0,0,72460,80770,0,12,145,4364,45.9,51.2,0,0,0.1,2.8
