laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,126709,126006,94.3,57.2,50.8,45.8,45.8,0.1,0.2,0.7,5.2,0.6,96.3,0.0,119437,72423,64379,57995,57995,68,223,945,6569,709,122024,0,55058,64379,68,155,722,5624,43.5,50.8,0.1,0.1,0.6,4.4
S12000034,ABERDEENSHIRE,126272,125269,82.8,8.7,8.5,8.4,8.4,2.6,5.8,9.4,16.4,3.6,94.4,0.0,104595,10928,10690,10550,10550,3306,7303,11829,20674,4605,119208,0,93905,10690,3306,3997,4526,8845,74.4,8.5,2.6,3.2,3.6,7.0
E07000223,ADUR,29838,29785,98.8,85.7,85.4,0.7,0.7,0.0,0.0,0.2,1.0,0.1,99.4,0.0,29474,25571,25492,213,213,1,13,47,311,38,29661,0,3982,25492,1,12,34,264,13.3,85.4,0.0,0.0,0.1,0.9
E07000026,ALLERDALE,51760,51513,92.5,3.1,3.1,3.1,3.1,1.2,2.2,3.2,7.0,1.2,98.5,2.2,47867,1617,1617,1617,1617,596,1121,1635,3646,635,50966,1159,46250,1617,596,525,514,2011,89.4,3.1,1.2,1.0,1.0,3.9
E07000032,AMBER VALLEY,61332,61041,95.3,30.8,27.3,24.2,24.2,0.1,0.3,0.7,4.2,0.5,98.8,0.0,58437,18894,16760,14868,14868,60,212,423,2604,304,60573,0,41677,16760,60,152,211,2181,68.0,27.3,0.1,0.2,0.3,3.6
S12000041,ANGUS,61112,60420,86.8,16.1,14.4,3.9,3.9,1.4,3.8,6.9,12.1,2.7,94.9,0.0,53039,9862,8772,2359,2359,878,2306,4204,7381,1672,58024,0,44267,8772,878,1428,1898,3177,72.4,14.4,1.4,2.3,3.1,5.2
N09000001,ANTRIM AND NEWTOWNABBEY,61030,60303,91.4,78.5,78.2,67.2,78.4,1.6,2.9,3.7,7.4,1.7,98.1,0.0,55782,47932,47737,41013,47872,968,1784,2248,4521,1045,59859,0,8045,47737,968,816,464,2273,13.2,78.2,1.6,1.3,0.8,3.7
N09000011,ARDS AND NORTH DOWN,72718,72484,94.9,75.8,75.5,74.1,75.8,0.6,1.1,2.1,4.8,0.8,99.5,0.0,68986,55108,54927,53913,55104,427,825,1517,3498,607,72331,0,14059,54927,427,398,692,1981,19.3,75.5,0.6,0.5,1.0,2.7
S12000035,ARGYLL AND BUTE,56456,54792,77.8,1.6,1.6,1.6,1.6,3.2,6.1,10.5,19.2,8.1,88.0,0.0,43933,886,886,885,886,1784,3416,5939,10859,4594,49709,0,43047,886,1784,1632,2523,4920,76.2,1.6,3.2,2.9,4.5,8.7
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",86229,85733,88.6,65.8,64.9,65.8,65.8,1.5,3.1,4.7,10.9,2.0,98.3,0.2,76374,56698,55972,56697,56697,1274,2630,4072,9359,1759,84725,136,20402,55972,1274,1356,1442,5287,23.7,64.9,1.5,1.6,1.7,6.1
E07000224,ARUN,79056,78824,96.5,12.6,8.7,6.5,6.5,0.1,0.2,0.4,3.2,0.2,99.4,0.0,76285,9995,6908,5103,5103,94,152,294,2539,197,78606,0,69377,6908,94,58,142,2245,87.8,8.7,0.1,0.1,0.2,2.8
E07000170,ASHFIELD,59199,59077,98.2,87.4,86.2,3.9,3.9,0.0,0.3,0.4,1.5,0.3,99.0,0.0,58163,51720,51006,2320,2320,11,205,257,914,184,58623,0,7157,51006,11,194,52,657,12.1,86.2,0.0,0.3,0.1,1.1
E07000105,ASHFORD,58645,58326,89.7,48.1,45.1,7.8,7.8,0.4,1.9,3.8,9.7,1.1,97.8,0.0,52613,28228,26422,4564,4564,217,1142,2238,5713,657,57372,0,26191,26422,217,925,1096,3475,44.7,45.1,0.4,1.6,1.9,5.9
E07000200,BABERGH,43293,42985,93.6,14.6,14.3,10.2,10.2,0.4,0.8,1.2,5.7,0.8,98.6,0.0,40533,6318,6180,4420,4420,159,355,523,2452,356,42667,0,34353,6180,159,196,168,1929,79.4,14.3,0.4,0.5,0.4,4.5
E09000002,BARKING AND DAGENHAM,80515,80450,98.7,89.9,89.8,51.8,89.8,0.0,0.4,0.6,1.2,0.1,98.7,0.0,79474,72378,72321,41732,72312,22,291,461,976,54,79478,0,7153,72321,22,269,170,515,8.9,89.8,0.0,0.3,0.2,0.6
E09000003,BARNET,159516,159071,97.2,60.6,57.0,21.5,54.9,0.0,0.0,0.1,2.5,0.2,98.1,0.0,155032,96683,90854,34323,87621,2,15,195,4039,265,156464,0,64178,90854,2,13,180,3844,40.2,57.0,0.0,0.0,0.1,2.4
E08000016,BARNSLEY,117673,117274,97.9,69.6,65.7,22.5,22.5,0.1,0.2,0.4,1.8,0.3,99.0,0.0,115209,81887,77367,26532,26534,98,288,439,2065,320,116448,0,37842,77367,98,190,151,1626,32.2,65.7,0.1,0.2,0.1,1.4
E07000027,BARROW-IN-FURNESS,35566,35465,98.5,1.0,1.0,1.0,1.0,0.2,0.2,0.4,1.2,0.2,99.7,0.1,35039,353,353,353,353,55,81,132,426,60,35454,35,34686,353,55,26,51,294,97.5,1.0,0.2,0.1,0.1,0.8
E07000066,BASILDON,83610,83352,97.9,78.9,77.6,23.8,23.8,0.0,0.1,0.4,1.8,0.2,99.2,0.0,81822,65970,64840,19865,19865,14,124,310,1530,179,82954,0,16982,64840,14,110,186,1220,20.3,77.6,0.0,0.1,0.2,1.5
E07000084,BASINGSTOKE AND DEANE,81765,81565,95.6,58.6,56.8,25.8,56.6,0.2,0.6,1.2,4.2,0.6,98.3,0.0,78141,47896,46421,21121,46284,143,507,989,3424,516,80407,0,31720,46421,143,364,482,2435,38.8,56.8,0.2,0.4,0.6,3.0
E07000171,BASSETLAW,56940,56544,95.5,34.4,32.5,8.8,8.8,0.4,0.8,1.3,3.9,0.8,98.6,6.7,54351,19565,18511,4993,4994,229,452,734,2193,430,56160,3828,35840,18511,229,223,282,1459,62.9,32.5,0.4,0.4,0.5,2.6
E06000022,BATH AND NORTH EAST SOMERSET,88630,88394,93.4,65.9,59.3,30.2,30.2,0.2,0.3,0.7,6.4,0.3,95.5,0.0,82739,58426,52529,26722,26722,133,248,631,5655,281,84675,0,30210,52529,133,115,383,5024,34.1,59.3,0.2,0.1,0.4,5.7
E06000055,BEDFORD,81659,81479,97.0,75.5,72.3,12.9,12.9,0.2,0.5,0.9,2.8,0.2,98.9,0.0,79186,61664,59015,10522,10522,145,390,701,2293,192,80734,0,20171,59015,145,245,311,1592,24.7,72.3,0.2,0.3,0.4,1.9
N09000003,BELFAST,166868,165569,97.5,91.4,91.0,73.3,91.0,0.0,0.1,0.4,1.7,0.4,97.7,0.0,162760,152555,151911,122304,151912,40,170,712,2809,717,163110,0,10849,151911,40,130,542,2097,6.5,91.0,0.0,0.1,0.3,1.3
E09000004,BEXLEY,103256,103039,97.1,79.7,78.7,33.9,78.1,0.0,0.1,0.8,2.7,0.2,97.7,0.0,100261,82339,81246,35016,80683,4,113,806,2778,218,100843,0,19015,81246,4,109,693,1972,18.4,78.7,0.0,0.1,0.7,1.9
E08000025,BIRMINGHAM,474514,471205,95.6,90.1,89.2,37.0,88.6,0.0,0.2,0.7,3.7,0.3,95.7,0.0,453660,427564,423162,175502,420252,34,742,3381,17545,1379,453967,0,30498,423162,34,708,2639,14164,6.4,89.2,0.0,0.1,0.6,3.0
E07000129,BLABY,45282,45210,97.7,72.6,70.2,33.7,33.7,0.1,0.3,0.4,2.1,0.1,98.8,0.0,44258,32865,31788,15266,15266,33,124,177,952,57,44716,0,12470,31788,33,91,53,775,27.5,70.2,0.1,0.2,0.1,1.7
E06000008,BLACKBURN WITH DARWEN,67443,67157,97.3,67.8,67.3,10.2,10.2,0.0,0.2,0.5,2.3,0.3,98.7,22.0,65610,45698,45399,6884,6902,29,162,329,1547,189,66562,14865,20211,45399,29,133,167,1218,30.0,67.3,0.0,0.2,0.2,1.8
E06000009,BLACKPOOL,77763,77521,98.4,70.6,70.4,0.7,0.7,0.0,0.0,0.0,1.3,0.1,98.6,0.0,76548,54881,54741,554,554,3,12,36,973,100,76649,0,21807,54741,3,9,24,937,28.0,70.4,0.0,0.0,0.0,1.2
W06000019,BLAENAU GWENT,35273,35161,96.5,5.0,3.6,2.4,2.4,0.0,0.2,0.7,3.2,0.4,99.2,0.1,34027,1777,1257,853,853,15,86,248,1134,126,34990,18,32770,1257,15,71,162,886,92.9,3.6,0.0,0.2,0.5,2.5
E07000033,BOLSOVER,38855,38741,94.8,42.2,37.4,14.0,14.0,0.1,0.2,0.4,4.9,0.3,98.4,0.0,36836,16392,14518,5456,5456,22,65,157,1905,119,38245,0,22318,14518,22,43,92,1748,57.4,37.4,0.1,0.1,0.2,4.5
E08000001,BOLTON,133444,132921,98.2,86.5,84.4,8.1,83.0,0.0,0.1,0.3,1.5,0.3,98.9,0.0,130981,115454,112682,10845,110713,23,136,430,1940,337,132009,0,18299,112682,23,113,294,1510,13.7,84.4,0.0,0.1,0.2,1.1
E07000136,BOSTON,33344,32989,91.0,4.5,4.5,4.5,4.5,0.7,1.5,2.3,7.9,1.6,97.0,2.9,30352,1501,1500,1501,1501,218,515,770,2637,547,32358,966,28852,1500,218,297,255,1867,86.5,4.5,0.7,0.9,0.8,5.6
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",198122,196808,98.0,81.3,78.7,23.1,23.1,0.2,0.2,0.3,1.3,0.6,98.8,0.0,194168,161065,155963,45676,45678,336,376,638,2640,1090,195821,0,38205,155963,336,40,262,2002,19.3,78.7,0.2,0.0,0.1,1.0
E06000036,BRACKNELL FOREST,54367,54075,95.8,62.0,58.5,9.2,56.4,0.1,0.3,0.9,3.6,0.4,98.1,0.0,52099,33732,31800,5015,30682,71,165,493,1976,191,53314,0,20299,31800,71,94,328,1483,37.3,58.5,0.1,0.2,0.6,2.7
E08000032,BRADFORD,216836,216037,96.3,81.3,78.8,3.7,77.3,0.1,0.2,0.5,3.3,0.3,97.7,20.8,208911,176225,170891,8078,167518,170,535,1084,7126,557,211893,45207,38020,170891,170,365,549,6042,17.5,78.8,0.1,0.2,0.3,2.8
E07000067,BRAINTREE,70880,70521,93.2,12.9,12.9,12.9,12.9,0.5,1.4,2.3,6.3,1.4,96.6,0.0,66051,9156,9156,9120,9120,376,996,1651,4470,1005,68496,0,56895,9156,376,620,655,2819,80.3,12.9,0.5,0.9,0.9,4.0
E07000143,BRECKLAND,66313,66080,90.7,19.3,17.6,16.3,16.3,0.7,1.8,3.0,9.0,1.7,97.6,0.0,60135,12769,11657,10793,10793,463,1169,1982,5945,1120,64745,0,48478,11657,463,706,813,3963,73.1,17.6,0.7,1.1,1.2,6.0
E09000005,BRENT,135629,134446,96.7,74.2,71.8,29.3,70.2,0.0,0.1,0.4,2.4,0.8,96.8,0.0,131175,100652,97358,39743,95269,2,81,571,3271,1063,131287,0,33817,97358,2,79,490,2700,24.9,71.8,0.0,0.1,0.4,2.0
E07000068,BRENTWOOD,35569,35370,94.7,16.3,16.3,16.2,16.2,0.1,0.3,0.7,4.7,0.4,98.5,0.0,33690,5781,5780,5779,5779,31,111,256,1680,151,35018,0,27910,5780,31,80,145,1424,78.5,16.3,0.1,0.2,0.4,4.0
W06000013,BRIDGEND,67375,67184,97.0,43.4,34.5,28.8,28.8,0.1,0.1,0.6,2.7,0.2,98.8,36.5,65359,29222,23252,19372,19395,34,92,417,1825,119,66546,24621,42107,23252,34,58,325,1408,62.5,34.5,0.1,0.1,0.5,2.1
